N,p,workload,comparison,metric,comparison_mean,GRR_mean,diff_mean,ci95_low,ci95_high,paired_t_p,wilcoxon_p,paired_t_p_holm,wilcoxon_p_holm
101,0.4,uniform,GuardedFill,jain,0.9996253170895956,0.99965471902686,-2.9401937264306177e-05,-3.751805148920962e-05,-2.1285823039402734e-05,6.742091430417796e-06,0.00048828125,0.0001820364686212805,0.0703125
101,0.4,uniform,RotatingGreedy,throughput,34.017722222222226,32.191472222222224,1.8262500000000006,1.804518115243857,1.8479818847561442,1.4469660163131095e-20,0.00048828125,1.1286334927242254e-18,0.0703125
101,0.4,uniform,RotatingGreedy,mean_wait,0.4732449841456192,0.642150768552669,-0.1689057844070497,-0.17025658048264067,-0.16755498833145874,1.8295156085561255e-22,0.00048828125,1.7380398281283194e-20,0.0703125
101,0.4,uniform,RotatingGreedy,max_wait,7.916666666666667,2.0,5.916666666666667,5.344620058883157,6.488713274450177,1.3269052338564714e-10,0.00048828125,6.236454599125416e-09,0.0703125
101,0.4,uniform,RotatingGreedy,jain,0.9995594121026322,0.99965471902686,-9.530692422775784e-05,-0.00012791478811752726,-6.269906033798843e-05,4.85384784585976e-05,0.00048828125,0.0011163850045477447,0.0703125
1001,0.05,hotspot,AgeMIS,throughput,49.18997222222222,47.58580555555556,1.6041666666666654,1.588541248193152,1.6197920851401788,1.6002478902026114e-21,0.00048828125,1.3602107066722196e-19,0.0703125
1001,0.05,hotspot,AgeMIS,mean_wait,0.11074436273379666,0.5276148522317795,-0.4168704894979829,-0.41760482668232735,-0.41613615231363843,1.0841287782720173e-29,0.00048828125,1.4852564262326637e-27,0.0703125
1001,0.05,hotspot,AgeMIS,max_wait,3.0833333333333335,2.0,1.0833333333333333,0.8999179033256968,1.2667487633409698,5.08848807212823e-08,0.00048828125,1.7809708252448805e-06,0.0703125
1001,0.05,hotspot,AgeMIS,jain,0.5149568243979107,0.5336395512137063,-0.018682726815795737,-0.019128231550916756,-0.018237222080674718,3.012631288840529e-17,0.00048828125,1.988336650634749e-15,0.0703125
1001,0.05,hotspot,GuardedFill,throughput,49.12383333333333,47.58580555555556,1.538027777777776,1.5263175502729907,1.5497380052825613,1.0655671857384011e-22,0.00048828125,1.0229444983088651e-20,0.0703125
1001,0.05,hotspot,GuardedFill,mean_wait,0.11790951999107752,0.5276148522317795,-0.40970533224070205,-0.4105253518017137,-0.4088853126796904,4.416892855971968e-29,0.00048828125,5.830298569882998e-27,0.0703125
1001,0.05,hotspot,GuardedFill,max_wait,2.0,2.0,0.0,0.0,0.0,,1.0,1.0,1.0
1001,0.05,hotspot,GuardedFill,jain,0.5163626350892615,0.5336395512137063,-0.01727691612444479,-0.01760684665584007,-0.016946985593049513,2.6239309284712283e-18,0.00048828125,1.758033722075723e-16,0.0703125
1001,0.05,hotspot,RotatingGreedy,throughput,49.1945,47.58580555555556,1.608694444444443,1.5924912380875862,1.6248976508013,2.3128736568175618e-21,0.00048828125,1.9196851351585762e-19,0.0703125
1001,0.05,hotspot,RotatingGreedy,mean_wait,0.11059416252273353,0.5276148522317795,-0.41702068970904604,-0.4178540347653199,-0.4161873446527722,4.340884629343378e-29,0.00048828125,5.773376557026693e-27,0.0703125
1001,0.05,hotspot,RotatingGreedy,max_wait,6.25,2.0,4.25,3.9626432469034785,4.537356753096522,2.740591886001337e-12,0.00048828125,1.479919618440722e-10,0.0703125
1001,0.05,hotspot,RotatingGreedy,jain,0.5148706162519664,0.5336395512137063,-0.01876893496174002,-0.019243946874338527,-0.01829392304914151,5.793852715515361e-17,0.00048828125,3.766004265084985e-15,0.0703125
1001,0.05,uniform,AgeMIS,throughput,49.930277777777775,48.805527777777776,1.1247499999999995,1.1114514326577842,1.1380485673422147,1.3483292955359454e-20,0.00048828125,1.0651801434733968e-18,0.0703125
1001,0.05,uniform,AgeMIS,mean_wait,0.05259140674358195,0.5140484151491135,-0.46145700840553144,-0.46216709067508593,-0.46074692613597695,2.450180929671224e-30,0.00048828125,3.4547551108364256e-28,0.0703125
1001,0.05,uniform,AgeMIS,max_wait,2.0,2.0,0.0,0.0,0.0,,1.0,1.0,1.0
1001,0.05,uniform,AgeMIS,jain,0.9938016998793587,0.9939430160280033,-0.00014131614864437703,-0.00018620868303633186,-9.64236142524222e-05,2.492572105452819e-05,0.00048828125,0.0006231430263632047,0.0703125
1001,0.05,uniform,GuardedFill,throughput,49.92652777777778,48.805527777777776,1.1209999999999998,1.1105208255376366,1.131479174462363,1.0180214724812832e-21,0.00048828125,8.856786810587164e-20,0.0703125
1001,0.05,uniform,GuardedFill,mean_wait,0.053786600864428824,0.5140484151491135,-0.46026181428468455,-0.4609546480513014,-0.4595689805180677,1.923588298524848e-30,0.00048828125,2.7314953839052843e-28,0.0703125
1001,0.05,uniform,GuardedFill,max_wait,1.6666666666666667,2.0,-0.3333333333333333,-0.6461677418797369,-0.020498924786929718,0.03881409182311233,0.125,0.5433972855235726,1.0
1001,0.05,uniform,GuardedFill,jain,0.9938058274285705,0.9939430160280033,-0.00013718859943287476,-0.00018500938920356695,-8.936780966218257e-05,5.7229670743049336e-05,0.00048828125,0.0012590527563470853,0.0703125
1001,0.05,uniform,RotatingGreedy,throughput,49.929249999999996,48.805527777777776,1.1237222222222218,1.1108541671239789,1.1365902773204648,9.484082045994428e-21,0.00048828125,7.682106457255487e-19,0.0703125
