arch,N,app,workload,policy,throughput_s,throughput_sd,p95_wait_ms,p99_wait_ms,max_wait_ms,jain,zero_workers,mean_wait_ms
x86_64,501,kv,bursty,waiter,118560.1875,1798.3547627424823,0.3415875,0.574100625,5.6755315,0.9989131250000001,0.0,0.18847025
x86_64,501,kv,saturated,agemwis,132802.6875,1565.3072253782752,6.64699175,9.34526675,25.707846,0.997377125,0.0,3.768518625
x86_64,501,kv,saturated,dguard,129002.0625,3630.829120556153,10.844861125,18.98502025,76.45499674999999,0.945984625,0.0,2.64276125
x86_64,501,kv,saturated,fifo,12608.625,4864.757692908691,56.770236125000004,58.800322375,59.921318125,0.99989525,0.0,46.26575
x86_64,501,kv,saturated,gfgrr,133129.1875,2483.7898884208025,4.46731825,7.24936825,28.70483025,0.9972835,0.0,3.76054275
x86_64,501,kv,saturated,waiter,9559.125,89.59581862054586,0.1440995,1244.661421875,2014.166130125,0.144599625,32.125,26.84363175
x86_64,501,ledger,bursty,agemwis,77233.5625,2567.6936209855726,4.8540905,6.143493,13.935326125,0.99399175,0.0,2.551542
x86_64,501,ledger,bursty,dguard,123149.5625,1181.0103252693668,0.048230875,0.15420375,22.48103675,0.999084875,0.0,0.008954875
x86_64,501,ledger,bursty,fifo,61488.6875,2029.9315952144793,5.392455875,6.5027441249999995,8.18968725,0.999332875,0.0,4.222638875
x86_64,501,ledger,bursty,gfgrr,76215.9375,2121.309289726177,5.155247125,6.7035754999999995,16.843432749999998,0.99359325,0.0,2.632828875
x86_64,501,ledger,bursty,waiter,123538.4375,1010.4325960943661,0.167494625,0.23132275,2.327234875,0.99909775,0.0,0.104712
x86_64,501,ledger,saturated,agemwis,164640.625,1369.5362549313654,5.638353125,7.673215625,18.365453875,0.99734925,0.0,3.0420835
x86_64,501,ledger,saturated,dguard,166602.6875,4422.826455184347,8.194410874999999,13.932189875,56.59434625,0.962890625,0.0,2.059281375
x86_64,501,ledger,saturated,fifo,12566.3125,7269.060191452832,61.172571625,63.073553624999995,64.445696375,0.99988825,0.0,52.98699075
x86_64,501,ledger,saturated,gfgrr,166039.1875,2928.4511866648163,3.65355525,5.951243375,26.54970025,0.996901875,0.0,3.016872375
x86_64,501,ledger,saturated,waiter,9879.6875,84.93061769131626,0.17724525000000002,1271.426168625,1861.574299375,0.141721125,23.5,29.109375125
x86_64,501,sleep,bursty,agemwis,54228.5,1276.8303948226082,7.237820625,9.333645375,19.265822,0.99313875,0.0,3.547221125
x86_64,501,sleep,bursty,dguard,43711.75,2802.804908862345,12.197298625,23.043976375,198.432510125,0.990677875,0.0,3.2316085
x86_64,501,sleep,bursty,fifo,9169.375,459.5379472905369,59.725494874999995,63.96834225,68.11951962500001,0.999774875,0.0,49.1864295
